primary_place_of_performance_state_code,total_obligated_amount,fiscal_year
MI,4470391260.19,2014
NE,3580647144.28,2014
GU,3161667726.44,2014
AR,2928930823.03,2014
OR,2908418973.2,2014
RI,2296133460.26,2014
WI,2121056674.35,2014
NH,1824636544.55,2014
IA,1497513613.55,2014
PR,1338836435.94,2014
ND,891632737.52,2014
WV,725598454.39,2014
MT,723410842.97,2014
DE,674804070.22,2014
ID,487393699.40999997,2014
WY,400946473.28000003,2014
SD,211638760.4,2014
VT,201431274.08,2014
MH,76501621.01,2014
VI,29201456.889999997,2014
MP,14212503.379999999,2014
AS,13984798.4,2014
FM,1293342.13,2014
PW,422533.0,2014
VA,163276331462.14,2013
CA,102217716049.38,2013
MD,58997156764.65,2013
KY,54725654956.13,2013
TX,53671496627.99,2013
AL,36250921305.86,2013
FL,34267272166.65,2013
CO,33065995210.92,2013
AZ,32421730134.12,2013
NJ,21846032801.28,2013
MA,19710651902.89,2013
DC,17902259085.27,2013
GA,16374034986.17,2013
UT,15880268046.88,2013
MN,13937024197.699999,2013
NC,12747503428.68,2013
LA,12556886074.68,2013
OK,12191990988.29,2013
MO,11903922680.77,2013
WA,11588211352.76,2013
PA,10440147215.74,2013
OH,10033679620.82,2013
NY,9579080073.28,2013
MS,9449332541.49,2013
IL,9240461633.22,2013
HI,8452205689.56,2013
CT,8420289428.57,2013
SC,7638266988.68,2013
AK,7274109973.08,2013
IN,6253792356.14,2013
ME,6018683748.48,2013
KS,4896553850.93,2013
MI,4631865566.99,2013
TN,4556485235.41,2013
NM,4519004366.2,2013
NV,4502267007.27,2013
NE,3519938791.79,2013
GU,2867167196.4,2013
AR,2829895202.1,2013
OR,2825556458.1,2013
RI,2143300006.98,2013
WI,2088624911.37,2013
NH,1545689386.68,2013
IA,1456956270.32,2013
PR,1280352051.18,2013
ND,874362763.28,2013
MT,731976310.36,2013
WV,683868752.68,2013
DE,681793122.03,2013
ID,549642916.99,2013
WY,390342587.3,2013
SD,279106972.42,2013
VT,213684346.18,2013
MH,54613066.89,2013
VI,47428300.95,2013
AS,24967510.75,2013
MP,10856761.94,2013
AE,1516425.94,2013
FM,1321114.3599999999,2013
PW,466884.3,2013
VA,164184216480.93,2012
CA,100715279104.74,2012
KY,54991643168.659996,2012
TX,53696889959.35,2012
MD,51468126615.62,2012
AL,35580737438.01,2012
FL,34836381795.03,2012
AZ,31936152438.05,2012
CO,23216756066.35,2012
NJ,21079802147.93,2012
GA,19067496991.32,2012
MA,19005927175.22,2012
DC,18044552481.27,2012
UT,15965027427.130001,2012
MN,14029234914.53,2012
LA,13743231193.9,2012
NC,12957679650.92,2012
MO,12633050731.89,2012
OK,12336800343.47,2012
OH,10550602599.24,2012
PA,10286341048.4,2012
WA,9758502008.63,2012
IL,9130450402.9,2012
MS,8950378955.91,2012
HI,8640556222.26,2012
CT,8569628315.67,2012
NY,8200253681.07,2012
SC,7634167869.51,2012
AK,7353317334.68,2012
IN,5905935469.440001,2012
KS,5629709612.93,2012
TN,4661727387.8,2012
NM,4408689159.43,2012
MI,4406640746.95,2012
NV,4159595853.5,2012
NE,3649871351.49,2012
OR,3065519216.87,2012
AR,2821109589.75,2012
GU,2817606651.17,2012
ME,2695021252.6899996,2012
RI,2074466792.68,2012
WI,1967079845.29,2012
IA,1504043471.3,2012
NH,1386149439.76,2012
PR,1329826771.1000001,2012
ND,962399091.5,2012
MT,911806254.71,2012
WV,761528430.84,2012
DE,676627556.72,2012
ID,553427198.87,2012
WY,393993792.95,2012
SD,369680958.5,2012
VT,266565147.11,2012
MH,52571623.09,2012
VI,45072671.89,2012
AS,24932583.43,2012
MP,19037060.12,2012
AE,5898990.39,2012
FM,957297.19,2012
PW,129002.5,2012
VA,107231660719.83,2022
CA,89331505640.89,2022
TX,57581615203.67,2022
MD,51506306956.79,2022
KY,45626416327.35,2022
FL,36932971637.92,2022
CO,33110068890.809998,2022
AL,33052560100.76,2022
MA,20938994691.239998,2022
DC,18106914248.92,2022
UT,14629231248.390001,2022
MO,13594282712.84,2022
GA,13129893093.29,2022
NC,11995592535.77,2022
OK,11971171266.09,2022
PA,10870450964.8,2022
CT,10387055497.93,2022
AZ,10292010599.84,2022
IL,10008839130.08,2022
MS,9126423322.41,2022
SC,8742201231.12,2022
WA,8431789109.61,2022
NJ,8338929185.0,2022
HI,8275868940.17,2022
NY,7267445856.0,2022
AK,6334090587.53,2022
LA,6119625748.74,2022
MI,5793802109.87,2022
ME,5773449533.48,2022
OH,5766371613.45,2022
GU,4878258174.47,2022
IN,4710448451.66,2022
TN,4658254522.87,2022
NV,4265410413.31,2022
NM,3937707363.1,2022
KS,3257989308.79,2022
AR,3231824376.83,2022
NE,2097309208.18,2022
PR,1944224526.78,2022
RI,1943488033.01,2022
WI,1467907978.16,2022
IA,1384783322.26,2022
OR,1328389294.96,2022
NH,1234023993.28,2022
ND,948985823.82,2022
SD,711924645.74,2022
MT,640209506.6899999,2022
MN,603061551.05,2022
MH,600082342.19,2022
WY,593951280.37,2022
WV,512170103.61,2022
DE,485744099.52,2022
ID,399695159.44,2022
VT,104712037.07000001,2022
PW,102674149.45,2022
MP,84423268.27,2022
VI,37044533.38,2022
FM,6680935.6,2022
AS,882252.8200000001,2022
VA,141106689436.71,2020
CA,107168871797.18001,2020
TX,67876881410.869995,2020
MD,64691353639.33,2020
KY,45841425674.46,2020
AL,44289710305.8,2020
FL,43894699244.29,2020
CO,35098621572.159996,2020
MA,22905451365.329998,2020
DC,21368991474.52,2020
AZ,20593578787.100002,2020
GA,16576949363.43,2020
MO,16237191382.12,2020
UT,14927523092.029999,2020
